Año,Mes,cantidad_de_Turistas_Extranjeros
2021,Enero,474344
2021,Febrero,512203
2021,Marzo,416751
2021,Abril,205573
2021,Mayo,450079
2021,Junio,386800
2021,Julio,690590
2021,Agosto,718821
2021,Septriembre,800034
2021,Octubre,868995
2021,Noviembre,803758
2021,Diciembe,1019744
2022,Enero,834816
2022,Febrero,673404
2022,Marzo,831339
2022,Abril,831172
2022,Mayo,772946
2022,Junio,708480
2022,Julio,777943
2022,Agosto,750612
2022,Septriembre,944483
2022,Octubre,970056
2022,Noviembre,842893
2022,Diciembe,957295
2023,Enero,576556
2023,Febrero,516418
2023,Marzo,484600
2023,Abril,468051
2023,Mayo,439384
2023,Junio,439949
2023,Julio,407712
2023,Agosto,481018
2023,Septriembre,589485
2023,Octubre,576327
2023,Noviembre,468854
2023,Diciembe,550813
2024,Enero,587168
2024,Febrero,513555
2024,Marzo,484600
2024,Abril,564600
2024,Mayo,491957
2024,Junio,512884
2024,Julio,516783
2024,Agosto,549500
2024,Septriembre,538544
2024,Octubre,649081
2024,Noviembre,517624
2024,Diciembe,655113
